scientificName	family	nomenclaturalStatus	kingdom	scientificNameAuthorship	taxonKey	count(eea_cell_code)
Cylindroiulus punctatus (Leach, 1815)	Julidae		Animalia	(Leach, 1815)	1013651	1
Polydesmus angustus Latzel, 1884	Polydesmidae		Animalia	Latzel, 1884	1020607	2
Polydesmus testaceus Koch C.L., 1847	Polydesmidae		Animalia	Koch C.L., 1847	1020671	1
Mycogona germanica (Verhoeff, 1892)	Chordeumatidae		Animalia	(Verhoeff, 1892)	1023648	1
Darwinula stevensoni (Brady & Robertson, 1870)	Darwinulidae		Animalia	(Brady & Robertson, 1870)	1028923	1
Ectopsocus petersi Smithers, 1978	Ectopsocidae		Animalia	Smithers, 1978	1031394	175
Ectopsocus briggsi McLachlan, 1899	Ectopsocidae		Animalia	McLachlan, 1899	1031400	118
Amphigerontia bifasciata (Latreille, 1799)	Psocidae		Animalia	(Latreille, 1799)	1031437	2
Amphigerontia contaminata (Stephens, 1836)	Psocidae		Animalia	(Stephens, 1836)	1031438	7
Peripsocus alboguttatus (Dalman, 1823)	Peripsocidae		Animalia	(Dalman, 1823)	1031573	3
Peripsocus subfasciatus (Rambur, 1842)	Peripsocidae		Animalia	(Rambur, 1842)	1031575	9
Lachesilla pedicularia (Linnaeus, 1758)	Lachesillidae		Animalia	(Linnaeus, 1758)	1031620	3
Elipsocus abdominalis Reuter, 1904	Elipsocidae		Animalia	Reuter, 1904	1031652	2
Cuneopalpus cyanops (Rostock, 1876)	Elipsocidae		Animalia	(Rostock, 1876)	1031667	2
Lepinotus patruelis Pearman, 1931	Trogiidae		Animalia	Pearman, 1931	1031684	7
Psyllipsocus ramburii Selys-Longchamps, 1872	Psyllipsocidae		Animalia	Selys-Longchamps, 1872	1031737	5
Dorypteryx domestica (Smithers, 1958)	Psyllipsocidae		Animalia	(Smithers, 1958)	1031742	7
Dryops luridus (Erichson, 1847)	Dryopidae		Animalia	(Erichson, 1847)	1033452	2
Enochrus melanocephalus (A.G.Olivier, 1793)	Hydrophilidae		Animalia	(A.G.Olivier, 1793)	1033999	5
Anacaena globula (Paykull, 1798)	Hydrophilidae		Animalia	(Paykull, 1798)	1034063	12
Anacaena limbata (Fabricius, 1792)	Hydrophilidae		Animalia	(Fabricius, 1792)	1034064	3
Cryptopleurum subtile Sharp, 1884	Hydrophilidae		Animalia	Sharp, 1884	1034244	2
Cercyon melanocephalus (Linnaeus, 1758)	Hydrophilidae		Animalia	(Linnaeus, 1758)	1034421	1
Cercyon quisquilius (Linnaeus, 1760)	Hydrophilidae		Animalia	(Linnaeus, 1760)	1034424	1
Cercyon tristis (Illiger, 1801)	Hydrophilidae		Animalia	(Illiger, 1801)	1034425	1
Cercyon marinus C.G.Thomson, 1853	Hydrophilidae		Animalia	C.G.Thomson, 1853	1034428	1
Cercyon convexiusculus Stephens, 1829	Hydrophilidae		Animalia	Stephens, 1829	1034441	1
Cercyon ustulatus (Preyssler, 1790)	Hydrophilidae		Animalia	(Preyssler, 1790)	1034449	3
Cercyon unipunctatus (Linnaeus, 1758)	Hydrophilidae		Animalia	(Linnaeus, 1758)	1034452	1
Cercyon lateralis (Marsham, 1802)	Hydrophilidae		Animalia	(Marsham, 1802)	1034454	7
Cercyon terminatus (Marsham, 1802)	Hydrophilidae		Animalia	(Marsham, 1802)	1034462	1
Cercyon analis (Paykull, 1798)	Hydrophilidae		Animalia	(Paykull, 1798)	1034472	7
Elateroides dermestoides (Linnaeus, 1760)	Lymexylidae		Animalia	(Linnaeus, 1760)	1034608	11
Amara lunicollis Schiödte, 1837	Carabidae		Animalia	Schiödte, 1837	1035167	6
Amara anthobia A. & G.B.Villa, 1833	Carabidae		Animalia	A. & G.B.Villa, 1833	1035204	2
Loricera pilicornis (Fabricius, 1775)	Carabidae		Animalia	(Fabricius, 1775)	1035290	8
Nebria brevicollis (Fabricius, 1792)	Carabidae		Animalia	(Fabricius, 1792)	1035578	13
Bembidion tetracolum Say, 1823	Carabidae		Animalia	Say, 1823	1035931	6
Bembidion semipunctatum (Donovan, 1806)	Carabidae		Animalia	(Donovan, 1806)	1036066	1
Bembidion quadrimaculatum (Linnaeus, 1760)	Carabidae		Animalia	(Linnaeus, 1760)	1036128	6
Bembidion guttula (Fabricius, 1792)	Carabidae		Animalia	(Fabricius, 1792)	1036154	3
Bembidion obtusum Audinet-Serville, 1821	Carabidae		Animalia	Audinet-Serville, 1821	1036192	1
Bembidion properans (Stephens, 1828)	Carabidae		Animalia	(Stephens, 1828)	1036203	2
Asaphidion flavipes (Linnaeus, 1760)	Carabidae		Animalia	(Linnaeus, 1760)	1036796	3
Clivina fossor (Linnaeus, 1758)	Carabidae		Animalia	(Linnaeus, 1758)	1036893	4
Clivina collaris (Herbst, 1784)	Carabidae		Animalia	(Herbst, 1784)	1036899	3
Anisodactylus binotatus (Fabricius, 1787)	Carabidae		Animalia	(Fabricius, 1787)	1036917	6
Dytiscus marginalis Linnaeus, 1758	Dytiscidae		Animalia	Linnaeus, 1758	1038064	24
Bidessus unistriatus (Schrank, 1781)	Dytiscidae		Animalia	(Schrank, 1781)	1038153	1
Hydroporus striola (Gyllenhal, 1826)	Dytiscidae		Animalia	(Gyllenhal, 1826)	1038207	10
Hygrotus impressopunctatus (Schaller, 1783)	Dytiscidae		Animalia	(Schaller, 1783)	1038574	8
Ilybius fenestratus (Fabricius, 1781)	Dytiscidae		Animalia	(Fabricius, 1781)	1038781	2
Nicrophorus investigator (Zetterstedt, 1824)	Silphidae		Animalia	(Zetterstedt, 1824)	1038996	3
Nicrophorus humator (Gleditsch, 1767)	Silphidae		Animalia	(Gleditsch, 1767)	1039003	11
Nicrophorus vespillo (Linnaeus, 1758)	Silphidae		Animalia	(Linnaeus, 1758)	1039017	4
Nicrophorus interruptus (Stephens, 1830)	Silphidae		Animalia	(Stephens, 1830)	1039019	1
Trichonyx sulcicollis (Reichenbach, 1816)	Staphylinidae		Animalia	(Reichenbach, 1816)	1039457	7
Anotylus rugosus (Fabricius, 1775)	Staphylinidae		Animalia	(Fabricius, 1775)	1039463	10
Anotylus tetracarinatus (Block, 1799)	Staphylinidae		Animalia	(Block, 1799)	1039464	8
Carpelimus bilineatus (Stephens, 1834)	Staphylinidae		Animalia	(Stephens, 1834)	1039693	1
Carpelimus pusillus (Gravenhorst, 1802)	Staphylinidae		Animalia	(Gravenhorst, 1802)	1039712	2
Carpelimus corticinus (Gravenhorst, 1806)	Staphylinidae		Animalia	(Gravenhorst, 1806)	1039716	2
Carpelimus gracilis (Mannerheim, 1830)	Staphylinidae		Animalia	(Mannerheim, 1830)	1039734	6
Carpelimus rivularis (Motschulsky, 1860)	Staphylinidae		Animalia	(Motschulsky, 1860)	1039761	3
Oxytelus laqueatus (Marsham, 1802)	Staphylinidae		Animalia	(Marsham, 1802)	1039975	10
Oligota parva Kraatz, 1862	Staphylinidae		Animalia	Kraatz, 1862	1040045	3
Coprophilus striatulus (Fabricius, 1792)	Staphylinidae		Animalia	(Fabricius, 1792)	1040076	13
Stenus tarsalis Ljungh, 1810	Staphylinidae		Animalia	Ljungh, 1810	1040429	2
Aleochara bilineata Gyllenhal, 1810	Staphylinidae		Animalia	Gyllenhal, 1810	1040723	1
Aleochara lanuginosa Gravenhorst, 1802	Staphylinidae		Animalia	Gravenhorst, 1802	1040775	2
Aleochara bipustulata (Linnaeus, 1760)	Staphylinidae		Animalia	(Linnaeus, 1760)	1040779	4
Atheta sodalis (Erichson, 1837)	Staphylinidae		Animalia	(Erichson, 1837)	1041060	3
Atheta longicornis (Gravenhorst, 1802)	Staphylinidae		Animalia	(Gravenhorst, 1802)	1041085	4
Gyrophaena affinis C.Sahlberg, 1834	Staphylinidae		Animalia	C.Sahlberg, 1834	1041545	1
Dalotia coriaria (Kraatz, 1856)	Staphylinidae		Animalia	(Kraatz, 1856)	1041686	2
Aloconota sulcifrons (Stephens, 1832)	Staphylinidae		Animalia	(Stephens, 1832)	1041849	1
Dinaraea angustula (Gyllenhal, 1810)	Staphylinidae		Animalia	(Gyllenhal, 1810)	1042212	1
Bledius gallicus (Gravenhorst, 1806)	Staphylinidae		Animalia	(Gravenhorst, 1806)	1042278	8
Bledius opacus (Block, 1799)	Staphylinidae		Animalia	(Block, 1799)	1042354	1
Symbiotes gibberosus (Lucas, 1846)	Anamorphidae		Animalia	(Lucas, 1846)	1042697	6
Mycetaea subterranea (Fabricius, 1801)	Mycetaeidae		Animalia	(Fabricius, 1801)	1042787	8
Hippodamia variegata (Goeze, 1777)	Coccinellidae		Animalia	(Goeze, 1777)	1043082	735
Brumus quadripustulatus (Linnaeus, 1758)	Coccinellidae		Animalia	(Linnaeus, 1758)	1043102	1136
Calvia quatuordecimguttata (Linnaeus, 1758)	Coccinellidae		Animalia	(Linnaeus, 1758)	1043171	1440
Aphidecta obliterata (Linnaeus, 1758)	Coccinellidae		Animalia	(Linnaeus, 1758)	1043472	595
Chilocorus bipustulatus (Linnaeus, 1758)	Coccinellidae		Animalia	(Linnaeus, 1758)	1043495	137
Stethorus punctillum Weise, 1891	Coccinellidae		Animalia	Weise, 1891	1043616	37
Ahasverus advena (Walt, 1832)	Silvanidae		Animalia	(Walt, 1832)	1043858	3
Carpophilus dimidiatus (Fabricius, 1792)	Nitidulidae		Animalia	(Fabricius, 1792)	1044114	1
Brachypterolus pulicarius (Linnaeus, 1758)	Kateretidae		Animalia	(Linnaeus, 1758)	1044325	1
Corticaria elongata (Gyllenhal, 1827)	Latridiidae		Animalia	(Gyllenhal, 1827)	1044375	4
Pycnomerus sulcicollis LeConte, 1863-01	Zopheridae		Animalia	LeConte, 1863-01	1045323	3
Mycetophagus quadriguttatus P.W.J.Müller, 1821	Mycetophagidae		Animalia	P.W.J.Müller, 1821	1045482	16
Litargus balteatus LeConte, 1856	Mycetophagidae		Animalia	LeConte, 1856	1045529	7
Octotemnus glabriculus (Gyllenhal, 1827)	Ciidae		Animalia	(Gyllenhal, 1827)	1045541	17
Aderus populneus (Creutzer, 1796)	Aderidae		Animalia	(Creutzer, 1796)	1047210	1
Callosobruchus maculatus (Fabricius, 1775)	Chrysomelidae		Animalia	(Fabricius, 1775)	1047343	1
Phaedon armoraciae (Linnaeus, 1758)	Chrysomelidae		Animalia	(Linnaeus, 1758)	1047556	3
Agelastica alni (Linnaeus, 1758)	Chrysomelidae		Animalia	(Linnaeus, 1758)	1047936	57
Gastrophysa polygoni (Linnaeus, 1758)	Chrysomelidae		Animalia	(Linnaeus, 1758)	1048335	6
Psylliodes chrysocephalus (Linnaeus, 1758)	Chrysomelidae		Animalia	(Linnaeus, 1758)	1048471	3
Psylliodes affinis (Paykull, 1799)	Chrysomelidae		Animalia	(Paykull, 1799)	1048476	2
Pyrrhalta viburni (Paykull, 1799)	Chrysomelidae		Animalia	(Paykull, 1799)	1048933	1
Phyllotreta undulata Kutschera, 1860	Chrysomelidae		Animalia	Kutschera, 1860	1049228	3
Polyphylla fullo (Linnaeus, 1758)	Melolonthidae		Animalia	(Linnaeus, 1758)	1057362	4
Amphimallon solstitiale (Linnaeus, 1758)	Melolonthidae		Animalia	(Linnaeus, 1758)	1063891	12
Oxyomus sylvestris (Scopoli, 1763)	Aphodiidae		Animalia	(Scopoli, 1763)	1066713	4
Aphodius foetidus (Herbst, 1783)	Aphodiidae		Animalia	(Herbst, 1783)	1067440	2
Teuchestes fossor (Linnaeus, 1758)	Aphodiidae		Animalia	(Linnaeus, 1758)	1069044	3
Melinopterus consputus (Creutzer, 1799)	Aphodiidae		Animalia	(Creutzer, 1799)	1069177	2
Melinopterus prodromus (Brahm, 1790)	Aphodiidae		Animalia	(Brahm, 1790)	1069185	11
Melinopterus sphacelatus (Panzer, 1798)	Aphodiidae		Animalia	(Panzer, 1798)	1069215	5
Volinus sticticus (Panzer, 1798)	Aphodiidae		Animalia	(Panzer, 1798)	1070518	4
Anoplotrupes stercorosus (Scriba, 1791)	Geotrupidae		Animalia	(Scriba, 1791)	1071240	36
Oxythyrea funesta (Poda, 1761)	Cetoniidae		Animalia	(Poda, 1761)	1077130	18
Cetonia aurata (Linnaeus, 1758)	Cetoniidae		Animalia	(Linnaeus, 1758)	1077829	60
Protaetia cuprea (Fabricius, 1775)	Cetoniidae		Animalia	(Fabricius, 1775)	1080269	3
Gnorimus nobilis (Linnaeus, 1758)	Cetoniidae		Animalia	(Linnaeus, 1758)	1081186	21
Valgus hemipterus (Linnaeus, 1758)	Cetoniidae		Animalia	(Linnaeus, 1758)	1082966	93
Trichius fasciatus (Linnaeus, 1758)	Cetoniidae		Animalia	(Linnaeus, 1758)	1085188	19
Onthophagus joannae Goljan, 1953	Scarabaeidae		Animalia	Goljan, 1953	1091784	1
Ptilinus pectinicornis (Linnaeus, 1758)	Anobiidae		Animalia	(Linnaeus, 1758)	1095148	17
Anobium punctatum (De Geer, 1774)	Anobiidae		Animalia	(De Geer, 1774)	1095310	3
Xestobium rufovillosum (De Geer, 1774)	Anobiidae		Animalia	(De Geer, 1774)	1095669	2
Rhyzopertha dominica (Fabricius, 1792)	Bostrichidae		Animalia	(Fabricius, 1792)	1095716	2
Dermestes lardarius Linnaeus, 1758	Curculionidae		Animalia	Linnaeus, 1758	1095848	1
Dermestes frischi Kugelman, 1792	Curculionidae		Animalia	Kugelman, 1792	1095854	1
Dermestes undulatus Brahms, 1790	Curculionidae		Animalia	Brahms, 1790	1095858	3
Anthrenus fuscus Olivier, 1789	Dermestidae		Animalia	Olivier, 1789	1095903	1
Anthrenus museorum (Linnaeus, 1761)	Dermestidae		Animalia	(Linnaeus, 1761)	1095904	1
Reesa vespulae (Milliron, 1939)	Dermestidae		Animalia	(Milliron, 1939)	1095946	4
Attagenus pellio (Linnaeus, 1758)	Dermestidae		Animalia	(Linnaeus, 1758)	1095953	6
Trogoderma angustum (Solier, 1849)	Dermestidae		Animalia	(Solier, 1849)	1095984	1
Oberea pupillata (Gyllenhal, 1817)	Cerambycidae		Animalia	(Gyllenhal, 1817)	1096678	2
Agapanthia intermedia Ganglbauer, 1884	Cerambycidae		Animalia	Ganglbauer, 1884	1109567	2
Tetropium fuscum (Fabricius, 1787)	Cerambycidae		Animalia	(Fabricius, 1787)	1122917	11
Callidium violaceum (Linnaeus, 1758)	Cerambycidae		Animalia	(Linnaeus, 1758)	1126665	12
Batocera lineolata Chevrolat, 1852	Cerambycidae		Animalia	Chevrolat, 1852	1133603	1
Pogonocherus decoratus Fairmaire, 1855	Cerambycidae		Animalia	Fairmaire, 1855	1133774	3
Cortodera humeralis (Schaller, 1783)	Cerambycidae		Animalia	(Schaller, 1783)	1144296	2
Rhagium bifasciatum Fabricius, 1775	Cerambycidae		Animalia	Fabricius, 1775	1149909	51
Callidiellum rufipennis (Motschulsky, 1861)	Cerambycidae		Animalia	(Motschulsky, 1861)	1152186	36
Necrobia ruficollis (Fabricius, 1775)	Cleridae		Animalia	(Fabricius, 1775)	1161901	11
Necrobia rufipes (Fabricius, 1781)	Cleridae		Animalia	(Fabricius, 1781)	1161902	5
Clambus armadillo De Geer, 1774	Clambidae		Animalia	De Geer, 1774	1162017	1
Clambus pubescens Redtenbacher, 1847	Clambidae		Animalia	Redtenbacher, 1847	1162023	3
Agriotes lineatus (Linnaeus, 1767)	Elateridae		Animalia	(Linnaeus, 1767)	1162127	1
Phosphaenus hemipterus (Geoffroy, 1762)	Lampyridae		Animalia	(Geoffroy, 1762)	1162832	1
Byctiscus betulae (C.Linnaeus, 1758)	Attelabidae		Animalia	(C.Linnaeus, 1758)	1164351	1
Deporaus tristis Faust, 1887	Attelabidae		Animalia	Faust, 1887	1164774	2
Anthribus nebulosus J.R.Forster, 1770	Anthribidae		Animalia	J.R.Forster, 1770	1165552	10
Bruchela rufipes (A.G.Olivier, 1790)	Anthribidae		Animalia	(A.G.Olivier, 1790)	1167007	1
Platystomos albinus (C.Linnaeus, 1758)	Anthribidae		Animalia	(C.Linnaeus, 1758)	1168125	15
Choragus sheppardi Kirby, 1819	Anthribidae		Animalia	Kirby, 1819	1168486	1
Sitophilus granarius (C.Linnaeus, 1758)	Dryophthoridae		Animalia	(C.Linnaeus, 1758)	1170174	2
Doydirhynchus austriacus (A.G.Olivier, 1807)	Nemonychidae		Animalia	(A.G.Olivier, 1807)	1171840	2
Attelabus nitens (J.A.Scopoli, 1763)	Attelabidae		Animalia	(J.A.Scopoli, 1763)	1172407	2
Magdalis barbicornis (P.A.Latreille, 1804)	Curculionidae		Animalia	(P.A.Latreille, 1804)	1174203	1
Magdalis rufa E.F.Germar, 1823	Curculionidae		Animalia	E.F.Germar, 1823	1174232	1
Magdalis duplicata E.F.Germar, 1819	Curculionidae		Animalia	E.F.Germar, 1819	1174245	1
Magdalis armigera (Fourcroy, 1785)	Curculionidae		Animalia	(Fourcroy, 1785)	1174266	1
Rhinusa antirhini Stephens, 1829	Curculionidae		Animalia	Stephens, 1829	1175151	3
Sitona hispidulus (Fabricius, 1777)	Curculionidae		Animalia	(Fabricius, 1777)	1181241	2
Larinus carlinae (A.G.Olivier, 1807)	Curculionidae		Animalia	(A.G.Olivier, 1807)	1183708	1
Larinus planus (J.C.Fabricius, 1792)	Curculionidae		Animalia	(J.C.Fabricius, 1792)	1183775	1
Rhynchaenus fagi	Curculionidae		Animalia		1187413	2
Polygraphus grandiclava C.G.Thomson, 1886	Curculionidae		Animalia	C.G.Thomson, 1886	1189117	7
Ernoporicus fagi Wood & Bright, 1992	Curculionidae		Animalia	Wood & Bright, 1992	1190526	18
Hypera meles (J.C.Fabricius, 1792)	Curculionidae		Animalia	(J.C.Fabricius, 1792)	1191167	2
Hypera postica (L.Gyllenhal, 1813)	Curculionidae		Animalia	(L.Gyllenhal, 1813)	1191191	1
Otiorhynchus crataegi Germar, 1824	Curculionidae		Animalia	Germar, 1824	1194823	1
Otiorhynchus raucus (Fabricius, 1777)	Curculionidae		Animalia	(Fabricius, 1777)	1194901	2
Otiorhynchus sulcatus (Fabricius, 1775)	Curculionidae		Animalia	(Fabricius, 1775)	1195129	4
Cossonus linearis (J.C.Fabricius, 1775)	Curculionidae		Animalia	(J.C.Fabricius, 1775)	1195632	1
Xylocleptes bispinus (C.Duftschmid, 1825)	Curculionidae		Animalia	(C.Duftschmid, 1825)	1201568	39
Leiosoma deflexum L.Redtenbacher, 1858	Curculionidae		Animalia	L.Redtenbacher, 1858	1202949	2
Nedyus quadrimaculatus (C.Linnaeus, 1758)	Curculionidae		Animalia	(C.Linnaeus, 1758)	1203137	3
Tapinotus sellatus (J.C.Fabricius, 1794)	Curculionidae		Animalia	(J.C.Fabricius, 1794)	1208627	2
Acalles echinatus Bed., 1882-88	Curculionidae		Animalia	Bed., 1882-88	1211471	1
Cionus nigritarsis E.Reitter, 1904	Curculionidae		Animalia	E.Reitter, 1904	1213170	1
Cionus olens A.Hustache, 1931	Curculionidae		Animalia	A.Hustache, 1931	1213252	1
Hylurgops palliatus (Gyllenhal, 1813) Gyllenhal, 1813	Curculionidae		Animalia	Gyllenhal, 1813 (Gyllenhal, 1813)	1214678	77
Dorytomus dejeani Faust, 1883	Curculionidae		Animalia	Faust, 1883	1215181	2
Tropiphorus elevatus (Herbst, 1795)	Curculionidae		Animalia	(Herbst, 1795)	1216470	4
Coeliodes rana (J.C.Fabricius, 1787)	Curculionidae		Animalia	(J.C.Fabricius, 1787)	1217044	3
Orthotomicus laricis (J.C.Fabricius, 1792)	Curculionidae		Animalia	(J.C.Fabricius, 1792)	1217397	28
Furcipus rectirostris J.Desbrochers, 1892	Curculionidae		Animalia	J.Desbrochers, 1892	1219710	4
Tachyerges stigma Stephens, 1829	Curculionidae		Animalia	Stephens, 1829	1222878	1
Tachyerges salicis Linnaeus	Curculionidae		Animalia	Linnaeus	1222881	1
Lixus pulverulentus (J.A.Scopoli, 1763)	Curculionidae		Animalia	(J.A.Scopoli, 1763)	1223971	1
Attactagenus plumbeus (Marsham, 1802)	Curculionidae		Animalia	(Marsham, 1802)	1224784	1
Dendroctonus micans (J.G.Kugelann, 1794)	Curculionidae		Animalia	(J.G.Kugelann, 1794)	1228061	2
Balaninus rubidus Gyllenhal, 1835	Curculionidae		Animalia	Gyllenhal, 1835	1230851	1
Ceutorhynchus erysimi (J.C.Fabricius, 1787)	Curculionidae		Animalia	(J.C.Fabricius, 1787)	1237544	1
Rhinoncus pericarpius (C.Linnaeus, 1758)	Curculionidae		Animalia	(C.Linnaeus, 1758)	1239608	1
Trachyphloeus heymesi Hubenthal, 1934	Curculionidae		Animalia	Hubenthal, 1934	1245814	1
Tanysphyrus lemnae (Paykull & G.de, 1792)	Brachyceridae		Animalia	(Paykull & G.de, 1792)	1247820	1
Acantholyda erythrocephala (Linnaeus, 1758)	Pamphiliidae		Animalia	(Linnaeus, 1758)	1248774	26
Aulacus striatus Jurine, 1807	Aulacidae		Animalia	Jurine, 1807	1248968	12
Ametastegia pallipes (Spinola, 1808)	Tenthredinidae		Animalia	(Spinola, 1808)	1249663	4
Fenusa dohrnii (Tischbein, 1846)	Tenthredinidae		Animalia	(Tischbein, 1846)	1249668	58
Caliroa cerasi (Linnaeus, 1758)	Tenthredinidae		Animalia	(Linnaeus, 1758)	1249682	79
Hoplocampa testudinea (Klug, 1816)	Tenthredinidae		Animalia	(Klug, 1816)	1249700	16
Nematus ribesii (Scopoli, 1763)	Tenthredinidae		Animalia	(Scopoli, 1763)	1249702	67
Zele chlorophthalmus (Spinola, 1808)	Braconidae		Animalia	(Spinola, 1808)	1252271	2
Dinocampus coccinellae (Schrank, 1802)	Braconidae		Animalia	(Schrank, 1802)	1252429	49
Wroughtonia spinator (Lepeletier, 1825)	Braconidae		Animalia	(Lepeletier, 1825)	1254618	4
Wachsmannia spathiiformis (Ratzeburg, 1848)	Braconidae		Animalia	(Ratzeburg, 1848)	1259056	10
Diaeretiella rapae (McIntosh, 1855)	Braconidae		Animalia	(McIntosh, 1855)	1260239	1
Helconidea ruspator (Linnaeus, 1758)	Braconidae		Animalia	(Linnaeus, 1758)	1260407	2
Cremnops desertor (Linnaeus, 1758)	Braconidae		Animalia	(Linnaeus, 1758)	1263231	98
Aleiodes dissector (Nees, 1834)	Braconidae		Animalia	(Nees, 1834)	1265051	10
Dolichomitus imperator (Kriechbaumer, 1854)	Ichneumonidae		Animalia	(Kriechbaumer, 1854)	1274033	29
Dolichomitus mesocentrus (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1274044	2
Dolichomitus messor (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1274054	1
Banchus volutatorius (Linnaeus, 1758)	Ichneumonidae		Animalia	(Linnaeus, 1758)	1275861	1
Clistopyga rufator Holmgren, 1856	Ichneumonidae		Animalia	Holmgren, 1856	1276246	1
Alomya debellator (Fabricius, 1775)	Ichneumonidae		Animalia	(Fabricius, 1775)	1276464	2
Sphinctus serotinus Gravenhorst, 1829	Ichneumonidae		Animalia	Gravenhorst, 1829	1276861	10
Ctenochares bicolorus (Linnaeus, 1767)	Ichneumonidae		Animalia	(Linnaeus, 1767)	1276876	1
Heterischnus truncator (Fabricius, 1798)	Ichneumonidae		Animalia	(Fabricius, 1798)	1276976	7
Acrodactyla degener (Haliday, 1838)	Ichneumonidae		Animalia	(Haliday, 1838)	1278845	1
Hepiopelmus variegatorius (Panzer, 1800)	Ichneumonidae		Animalia	(Panzer, 1800)	1279233	19
Hepiopelmus melanogaster (Gmelin, 1790)	Ichneumonidae		Animalia	(Gmelin, 1790)	1279237	17
Polysphincta boops Tschek, 1869	Ichneumonidae		Animalia	Tschek, 1869	1279353	1
Polysphincta rufipes Gravenhorst, 1829	Ichneumonidae		Animalia	Gravenhorst, 1829	1279368	1
Vulgichneumon trifarius (Berthoumieu, 1892)	Ichneumonidae		Animalia	(Berthoumieu, 1892)	1279666	1
Vulgichneumon saturatorius (Linnaeus, 1758)	Ichneumonidae		Animalia	(Linnaeus, 1758)	1279690	88
Vulgichneumon bimaculatus (Schrank, 1776)	Ichneumonidae		Animalia	(Schrank, 1776)	1279703	4
Diacritus aciculatus (Vollenhoven, 1878)	Ichneumonidae		Animalia	(Vollenhoven, 1878)	1280816	1
Homotherus locutor (Thunberg, 1822)	Ichneumonidae		Animalia	(Thunberg, 1822)	1280864	4
Megarhyssa vagatoria (Fabricius, 1793)	Ichneumonidae		Animalia	(Fabricius, 1793)	1280970	35
Megarhyssa superba (Schrank, 1781)	Ichneumonidae		Animalia	(Schrank, 1781)	1280999	12
Megarhyssa rixator (Schellenberg, 1802)	Ichneumonidae		Animalia	(Schellenberg, 1802)	1281029	1
Megarhyssa perlata (Christ, 1791)	Ichneumonidae		Animalia	(Christ, 1791)	1281036	16
Netelia virgata (Geoffroy, 1785)	Ichneumonidae		Animalia	(Geoffroy, 1785)	1282178	1
Netelia testacea (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1282203	32
Netelia tarsata (Brischke, 1880)	Ichneumonidae		Animalia	(Brischke, 1880)	1282222	2
Patrocloides diasemae (Tischbein, 1877)	Ichneumonidae		Animalia	(Tischbein, 1877)	1282738	7
Aoplus personatus (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1282966	5
Spilothyrateles nuptatorius (Fabricius, 1793)	Ichneumonidae		Animalia	(Fabricius, 1793)	1284790	1
Cosmoconus meridionator Aubert, 1963	Ichneumonidae		Animalia	Aubert, 1963	1284915	1
Hoplismenus bispinatorius (Thunberg, 1822)	Ichneumonidae		Animalia	(Thunberg, 1822)	1285377	2
Hoplismenus bidentatus (Gmelin, 1790)	Ichneumonidae		Animalia	(Gmelin, 1790)	1285382	1
Hoplismenus axillatorius (Thunberg, 1822)	Ichneumonidae		Animalia	(Thunberg, 1822)	1285394	7
Phobetes atomator (Muller, 1776)	Ichneumonidae		Animalia	(Muller, 1776)	1285480	1
Excavarus apiarius (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1285520	1
Eutanyacra picta (Schrank, 1776)	Ichneumonidae		Animalia	(Schrank, 1776)	1285664	4
Eutanyacra pallidicornis (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1285670	2
Achaius oratorius (Fabricius, 1793)	Ichneumonidae		Animalia	(Fabricius, 1793)	1286594	98
Amblyteles armatorius (Forster, 1771)	Ichneumonidae		Animalia	(Forster, 1771)	1286739	85
Alcima orbitale (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1287071	8
Ctenichneumon devylderi (Holmgren, 1871)	Ichneumonidae		Animalia	(Holmgren, 1871)	1288112	1
Ctenichneumon panzeri (Wesmael, 1845)	Ichneumonidae		Animalia	(Wesmael, 1845)	1288136	75
Ctenichneumon inspector (Wesmael, 1845)	Ichneumonidae		Animalia	(Wesmael, 1845)	1288165	7
Ctenichneumon funereus (Geoffroy, 1785)	Ichneumonidae		Animalia	(Geoffroy, 1785)	1288188	4
Ctenichneumon edictorius (Linnaeus, 1758)	Ichneumonidae		Animalia	(Linnaeus, 1758)	1288205	5
Ctenichneumon divisorius (Gravenhorst, 1820)	Ichneumonidae		Animalia	(Gravenhorst, 1820)	1288233	1
Orthizema hadrocerum (Thomson, 1884)	Ichneumonidae		Animalia	(Thomson, 1884)	1289302	1
Gelis rufogaster Thunberg, 1827	Ichneumonidae		Animalia	Thunberg, 1827	1290097	6
Gelis acarorum (Linnaeus, 1758)	Ichneumonidae		Animalia	(Linnaeus, 1758)	1290204	9
Gelis spurius (Forster, 1850)	Ichneumonidae		Animalia	(Forster, 1850)	1290306	7
Gelis areator (Panzer, 1804)	Ichneumonidae		Animalia	(Panzer, 1804)	1290330	28
Hoplocryptus melanocephalus (Gravenhorst, 1829)	Ichneumonidae		Animalia	(Gravenhorst, 1829)	1292032	1
